ID,ConfigurationScope_ID,PurchasingOrg,CompanyCode,BusinessPurpose,Plant,MaterialGroup,ProcessType,AccountAssignmentCategory,SpecialLogic,SATApproverAmount_lowAmount,SATApproverAmount_highAmount,Step,Sequence,NotificationGroup,NotificationValue,NotificationCurrency,IsActive,createdAt,createdBy,modifiedAt,modifiedBy
deeac058-c4a5-4e80-8c77-236d0b0b6864,4fd17109-cf1b-4ee1-8033-4c0866a9eb79,0003,3012,,,,,,,,,Requester,1,REQ,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
b4c4fc2d-6a21-4eb9-b554-4e8f4706fb91,4fd17109-cf1b-4ee1-8033-4c0866a9eb79,0003,3012,,,,Freetext,,,15000,999999999,Procurement Expert,2,SCM,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
5f89758a-493a-4e48-90da-963c3ee5e75a,4fd17109-cf1b-4ee1-8033-4c0866a9eb79,0003,3012,,,,,,,,,Procurement Verification,3,0003_Purchaser,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
197e993c-586d-43fd-9c06-5102c273ecd4,4fd17109-cf1b-4ee1-8033-4c0866a9eb79,0003,3012,,,,,,NoVendor,,,Procurement Verification,3,0003_Purchaser,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
10863079-de52-431b-be5f-eed3cf76e58b,4fd17109-cf1b-4ee1-8033-4c0866a9eb79,0003,3012,,,,,,EventError,,,Support,,SUCZ_Support,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
9428d648-599f-4387-a621-4e6ad250b7bf,a53366df-7303-42a4-b2c5-18c3e5bb5ced,A200,5026,IND,,,,,,,,Requester,1,REQ,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
e051fa43-d442-4b3d-ada7-f954846ba119,a53366df-7303-42a4-b2c5-18c3e5bb5ced,A200,5026,IND,,,Freetext,,,15000,999999999,Procurement Expert,2,SCM,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
240d61b8-b473-4aac-89d4-1b551d0316ac,a53366df-7303-42a4-b2c5-18c3e5bb5ced,A200,5026,IND,,,,,,,,Procurement Verification,3,INDD_Purchaser,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
ffe53737-063b-4ee9-a04c-1b537975e548,a53366df-7303-42a4-b2c5-18c3e5bb5ced,A200,5026,IND,,,,,NoVendor,,,Procurement Verification,3,INDD_Purchaser,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
2588ad96-38ac-4d7b-ac07-91842bf00ab7,a53366df-7303-42a4-b2c5-18c3e5bb5ced,A200,5026,IND,,,,,EventError,,,Support,,A200_Support,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
