ID,ApproverGroup_GroupName,Approver_GID,createdAt,createdBy,modifiedAt,modifiedBy
6fec1591-6364-4913-9069-a47f6b002dd7,SRED_Purchaser,Z004TAMU,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
02ee012c-9fe9-43ce-996a-72fadf1861b7,SRED_Purchaser,Z00531DY,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
3a0161f9-5a61-42a5-897c-f959cbb29ad4,SRED_Purchaser,Z004XVAC,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
46ac4ade-43ed-4d5d-964a-4de814cb0f1a,SRED_Purchaser,Z0052TYP,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
f4404c83-d06b-42af-b1f4-1b418a21be53,SRED_Purchaser,Z002Z66N,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
33d87b7a-6510-4ea0-84dd-ce49fef408df,SRED_Purchaser,Z004YK1R,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
14db93c1-05c9-424b-89d8-5e638ad9bd1b,SRED_Purchaser,Z004Z7ZE,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
a9afb777-699c-43f2-b58c-aab80c4c53c2,SRED_Purchaser,Z0054KNE,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
7daf5577-e601-4510-b78e-584c9a106005,SRED_Purchaser,Z0028XMJ,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
377172bf-eda0-420f-a6f3-0d73f7231f6f,SRED_Purchaser,Z004FUJT,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
3f79cdac-564b-45ae-afd0-12ba8979950e,SRED_Purchaser,Z001WYDU,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
ae7a52b4-cf47-4944-ae93-621fd5a02045,SRED_Purchaser,Z0014WKT,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
fbc28f0a-e43e-4f62-b490-64ebd268e52b,SRED_Purchaser,Z0039MYX,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
5af4ab1f-adf5-4946-86f7-c036c65695ec,SRED_Purchaser,Z0051EJU,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
a26e1701-5260-4c64-9567-72bf178e55d0,SRED_Purchaser,Z003RN6R,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
bcf4f6c4-d1b3-44e3-9a72-820f556596e8,SRED_Purchaser,Z0046D7W,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
59b64a43-3949-46f8-b850-dd94554bdd7d,SRED_Purchaser,Z000268E,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
3eda9e60-14ef-4513-aac5-ba0a3e3f0d0a,SRED_Purchaser,Z002JB9N,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
4ebdb5a3-02e5-452f-9d7e-babf0eb0e856,SRED_Purchaser,Z002ZJEH,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
0fa1a12c-c264-4e52-9af6-4e1c6241535c,SRED_Purchaser,Z0033TXK,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
5be698ab-f76f-48c5-bb2f-70085caa4c1a,SRED_Purchaser,Z0037XDV,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
58dfb6fc-9a42-40cc-9404-f6ff01971087,SRED_Purchaser,Z0030F0C,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
587c8b52-24f9-4f30-a865-d8fc45017ccf,SRED_Purchaser,Z0049ETY,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
b69737e3-9986-4f6a-935e-fbceb63db9af,SRED_Purchaser,Z00531ED,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
b6b91a7b-aff2-46a5-9ba2-f401cc733b2b,SRED_Purchaser,Z00578UN,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
df160594-9b60-410d-9cf4-7015bcc15de4,SRED_Purchaser,Z0022MPU,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
6557fb8e-0f1d-468d-8044-5ba76ec0d3f5,SRED_Purchaser,Z00360RB,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
16c735dc-e5f7-451a-b7cf-0a0182fb48d0,SRED_Purchaser,Z00580YJ,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
