ID,header_ID,Identifier,value,createdAt,createdBy,modifiedAt,modifiedBy
00000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,PRType,NB,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,ActivePurchasingGrps,C11,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000024,10000000-0000-0000-0000-000000000001,ActivePurchasingGrps,C12,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000001,IsAEMEnabled,true,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000001,PONumberRangeExclusion,97,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000025,10000000-0000-0000-0000-000000000001,PONumberRangeExclusion,55,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000001,SCMSTARTrigger,SCM STAR,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000001,ConfirmationControlKey,Y003,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000001,GLAccountForAsset,8900000,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000001,PurchaseOrderType,YIND,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000001,AccountingCategories,A,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000026,10000000-0000-0000-0000-000000000001,AccountingCategories,K,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000027,10000000-0000-0000-0000-000000000001,AccountingCategories,P,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000001,DIRPurchaseOrderType,YDNB,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000001,ActiveGTSPurchasingOrgs,C501,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000001,SATApproverRole,/SIE/FTC4P_MMX_PO_APPR_3012,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000001,GRDelay,2,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000001,INDPurchaseOrderType,YIND,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000015,10000000-0000-0000-0000-000000000001,MaxSATApprover,5,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000001,LocalCurrency,DKK,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000001,ActivePurchasingOrgs,C501,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000019,10000000-0000-0000-0000-000000000001,ActivePurchasingOrgs,SW36,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000020,10000000-0000-0000-0000-000000000001,ActivePurchasingOrgs,SW37,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000021,10000000-0000-0000-0000-000000000001,ActivePurchasingOrgs,SW38,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000022,10000000-0000-0000-0000-000000000001,ActivePurchasingOrgs,SW39,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000023,10000000-0000-0000-0000-000000000001,ActivePurchasingOrgs,CA00,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
00000000-0000-0000-0000-000000000018,10000000-0000-0000-0000-000000000001,GoodsMovementType,101,2026-08-01T10:00:00Z,admin,2026-08-01T10:00:00Z,admin
a1b2c3d4-1111-4000-a001-000000000001,10000000-0000-0000-0000-000000000002,LocalCurrency,EUR,2026-08-02T09:00:00Z,admin,2026-08-02T09:00:00Z,admin
a1b2c3d4-1111-4000-a001-000000000002,10000000-0000-0000-0000-000000000002,PurchaseOrderType,YIND,2026-08-02T09:00:00Z,admin,2026-08-02T09:00:00Z,admin
