ID,CompanyCode,PurchasingOrg,Plant,IsActive,createdAt,createdBy,modifiedAt,modifiedBy
2d35f3ce-da61-4d84-a4b5-752b76353d53,,,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
4fd17109-cf1b-4ee1-8033-4c0866a9eb79,3012,0003,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
a53366df-7303-42a4-b2c5-18c3e5bb5ced,5026,A200,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
e54947af-32ac-4d6c-a3d7-3701810754e0,581C,AG00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
dc55a6b2-a4ff-4269-a6e1-cdac259b024a,562K,AH00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
29a29847-4c26-4ff8-b9a9-5a9689743fe4,423B,AI00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
6bb3e85e-012f-49a6-a3ab-17f04e1867b8,5089,AP00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
e3aec825-8f6f-4339-a4c7-172d966bce31,524K,AR00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
d5316cb1-ff04-41b9-b8ae-d225e39271dc,556P,AT00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
ac65737f-7e41-4a59-9ea0-00d596c44c3e,490C,B400,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
2bb93da2-7acf-4dfe-8df7-7fe023172718,5067,B600,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
28199062-89c3-4ea3-b797-c6e666580b70,5017,B700,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
566521a1-8541-405a-8135-953290141716,5034,B800,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
fd6c64d7-d86c-4dc0-a930-dd2daddfb093,7018,BA00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
602b646e-bd65-469a-a88a-ad794257b24f,7998,BY00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
683c7737-ded2-454b-aa81-17f65a6308d4,3003,C300,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
70cdd54c-e696-4eda-859e-86c60fa4d47b,3014,C501,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
5f2cc390-68d1-4bff-977d-23360da32eec,3364,CA00,,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
