ID,ConfigurationScope_ID,Identifier,Value,IsActive,createdAt,createdBy,modifiedAt,modifiedBy
6b63b8d8-e36a-4f49-81da-08ff0d5d9586,2d35f3ce-da61-4d84-a4b5-752b76353d53,PONumberRangeExclusion,"97,55",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
8920e488-809a-4cee-b86f-dc7fa4cd5101,2d35f3ce-da61-4d84-a4b5-752b76353d53,AccountingCategories,"A,K,P",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
42536928-3160-4251-ad60-86cddc1420d7,2d35f3ce-da61-4d84-a4b5-752b76353d53,P2PChangeEventEnabled,true,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
567fe64a-a4f9-406c-bb2a-1ddf90e252ef,2d35f3ce-da61-4d84-a4b5-752b76353d53,PRType,NB,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
e5ef572e-164b-47b6-8ccd-f5aeadc2f7c5,2d35f3ce-da61-4d84-a4b5-752b76353d53,INDPurchaseOrderType,YIND,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
dcd40870-c836-4d35-b1ea-0e10baca2a6a,2d35f3ce-da61-4d84-a4b5-752b76353d53,FXRateType,M,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
ac3e9b5c-f5dd-465d-ab16-267a82cb779c,2d35f3ce-da61-4d84-a4b5-752b76353d53,RfQClosingDelay,3,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
bc34a62a-85ed-4798-9458-4683def94c58,2d35f3ce-da61-4d84-a4b5-752b76353d53,GoodsMovementType,101,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
78ca3170-93bb-44ab-a46c-e5c303be5fc4,2d35f3ce-da61-4d84-a4b5-752b76353d53,EventRetryMax,5,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
6800c84e-cfa1-4e19-b79e-fc7aac3b58bd,2d35f3ce-da61-4d84-a4b5-752b76353d53,ActivePurchasingGrps,"C11,C12",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
16649199-a5c3-4330-a3c5-9d2255bb506e,2d35f3ce-da61-4d84-a4b5-752b76353d53,ActiveGTSPurchasingOrgs,C501,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
8ac23a3b-fcee-4999-8050-2eef1feba5b3,2d35f3ce-da61-4d84-a4b5-752b76353d53,DIRPurchaseOrderType,YDNB,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
cfec315f-4ae6-47d2-afcd-a227f134c4ed,2d35f3ce-da61-4d84-a4b5-752b76353d53,SCMSTARTrigger,SCM STAR,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
f5a1e5b1-bcee-44e7-99e6-8b96e914c3ee,2d35f3ce-da61-4d84-a4b5-752b76353d53,GRDelay,2,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
c3c2122e-097c-4856-b97c-3204dc7e6ef5,2d35f3ce-da61-4d84-a4b5-752b76353d53,MaxSATApprover,5,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
f1638fae-4647-44f0-9ca5-ce1559ea9d34,2d35f3ce-da61-4d84-a4b5-752b76353d53,SATApproverRole,/SIE/FTC4P_MMX_PO_APPR_3012,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
203fbefd-7358-425b-b389-dc6176ded395,2d35f3ce-da61-4d84-a4b5-752b76353d53,ActivePurchasingOrgs,"C501,SW36,SW37,SW38,SW39,CA00,0003,B600,B700,B800,BA00,B400,AI00,AR00,AT00,A200,AP00,CT00,AH00,AG00,BY00,DO00,D400",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
6f6d0323-fb5c-41ee-9a2d-b357f640ec9b,2d35f3ce-da61-4d84-a4b5-752b76353d53,DefaultDeliveryLeadTime,3,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
f8a97831-9979-41ee-bb4b-0bc2a80ca16b,2d35f3ce-da61-4d84-a4b5-752b76353d53,ConfirmationControlKey,Y003,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
ca0fc1d3-bb42-4658-be59-b18ae9875c4d,2d35f3ce-da61-4d84-a4b5-752b76353d53,PurchaseOrderType,YIND,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
15ecf676-752d-4cb9-9a8f-61a0f94e1fef,2d35f3ce-da61-4d84-a4b5-752b76353d53,IsAEMEnabled,true,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
9e7b29d4-adba-449f-b378-d173f709163a,2d35f3ce-da61-4d84-a4b5-752b76353d53,LocalCurrency,DKK,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
64a630c2-b8c5-4cf0-afe0-13df58c10fad,2d35f3ce-da61-4d84-a4b5-752b76353d53,GLAccountForAsset,8900000,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
4b36f11c-dc71-4377-bbbb-5e37e1cd60e3,683c7737-ded2-454b-aa81-17f65a6308d4,SATApproverRole,"/SIE/FTC4P_MMX_PO_APPR_3003,/SIE/FTSTQ_MMX_APPROVE_PO_ALL",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
24390a50-62e4-4c0a-bd3b-8b7e0d3dc3e9,683c7737-ded2-454b-aa81-17f65a6308d4,LocalCurrency,EUR,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
38dd5e20-c4b8-4190-86e9-68571105fc15,683c7737-ded2-454b-aa81-17f65a6308d4,AccountingCategories,"A,K,P",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
4e73470b-4773-4f62-91c3-b0f057691ed8,683c7737-ded2-454b-aa81-17f65a6308d4,DIRBusinessPurpose,"A05,A06",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
09b83fe8-5043-490f-9cc4-d94d98c02469,70cdd54c-e696-4eda-859e-86c60fa4d47b,LocalCurrency,RON,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
21682596-e546-4f9f-bd0d-a1dfd370fcd1,70cdd54c-e696-4eda-859e-86c60fa4d47b,ActivePurchasingGrps,"C06,C07",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
50935862-cbe3-4db4-b259-86c23e5cb8c2,70cdd54c-e696-4eda-859e-86c60fa4d47b,INDBusinessPurpose,"C06,C07",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
88b88403-a2af-4d3d-a76e-60a2151ac722,70cdd54c-e696-4eda-859e-86c60fa4d47b,DIRBusinessPurpose,"C24,C25",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
8b69052c-23e4-4be8-bf83-c07a74844066,70cdd54c-e696-4eda-859e-86c60fa4d47b,GTSLogicHSCode,true,true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
6865999a-c0e7-4ba6-a036-ade655bfcf9d,70cdd54c-e696-4eda-859e-86c60fa4d47b,AccountingCategories,"A,K,P",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
4a545b39-45a6-474c-b273-730143e88833,70cdd54c-e696-4eda-859e-86c60fa4d47b,SATApproverRole,"/SIE/FTC4P_MMX_PO_APPR_3014,/SIE/FTSTQ_MMX_APPROVE_PO_C501",true,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
