ID,ApprovalStep_ID,ApproverGroup_GroupName,createdAt,createdBy,modifiedAt,modifiedBy
44a437d2-4b12-4283-9208-940f8fbf1e51,505ea9c6-63c6-4b4a-9977-37aad7ab3c81,REQ,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
f7ca343e-f821-4fe0-b1f8-a81e04e23ddc,657aa316-50af-4464-9bc4-bb63e93d1a90,SCM,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
bd66fd13-e357-4bdd-acf8-a41297c7053e,7e6651ee-38bb-4fac-a866-efb7cb02d4ee,SRED_Purchaser,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
ab3d0bb4-46da-4511-b4dd-b6ae4a5e2db3,dc5b93a5-7d50-420c-86de-194531517aee,SRED_Purchaser,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
9736c403-965a-4258-aadf-fe8d578882dd,2c95241e-e317-472d-a125-4bb8c9e547d0,C300_Support,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
1f6acc22-46c1-4c86-968d-0bc0816edf18,da84a10b-b403-4d8c-9146-08d57c48afa3,XXXX_Support,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
a8bee5c8-9017-42fa-bc46-04a5e9704dfe,71e8de58-c6fb-4ab2-aa45-f8747dd7b3d7,XXXX_Support,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
f2dd64ee-4cc7-4103-83be-a0bbaa8434dd,7a720701-cfaf-40b5-a71e-661bbb6fab29,REQ,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
cee5c063-f402-4914-94fc-c36244f8df2c,8a12d35a-9b21-41bb-adee-b03478c771f2,SCM,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
10eca044-1d90-42f3-9c22-620e17820367,cb2e3141-1924-418f-b0d3-4a5ba56639e8,C501_Purchaser,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
8addd19e-2bf4-40a7-9ca5-9d5c6ccd15e9,853f3c08-0571-4e15-917f-8487a9de26ef,C501_Purchaser,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
34dd71d5-4543-426d-8087-624e2b523f40,589f5d6d-5677-4150-b108-0ab2d7e1bbbf,SUCZ_Support,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
3c217d81-4695-43e5-851a-7b30dcc70faa,02d994aa-298f-4555-8a0b-d4485b508f54,REQ,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
b917a40a-5c0c-4dce-a9c8-f692ca256712,2966cdf2-746a-4de4-a324-ae7e3fb394dd,SCM,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
97becfb1-b199-4a9b-8876-6e3da4ddfd61,6d82511b-eb2a-495e-878d-b27274b99ee6,SRER_Purchaser,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
5263b63c-308d-46d4-a7d5-07c3a1dd6201,c4be7abb-26d5-4c9c-addc-bed5ccdebcbb,SRER_Purchaser,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
6b3d0232-424f-45e0-b026-16d72db9b400,ba661cc0-648a-442d-85a2-abd77aafbda3,C501_Support,2026-08-20T00:00:00Z,admin,2026-08-20T00:00:00Z,admin
